"course_code","course_name","description","level"
"O M 366P","Operations Management Practicum.","Restricted to students in a business major. Students apply skills in their major area and focus on additional project management skills through group projects conducted in a professional setting. Students may work with a private or a public enterprise. The equivalent of three lecture hours a week for one semester.  Offered on the letter-grade basis only. Prerequisite: Completion of at least forty-five semester hours of college coursework, and credit or registration for Operations Management 334M , 235 , or 235H .","Upper-Division Courses"
"O M 370","Supply Chain Design, Planning, and Execution.","Restricted to students in a business major. Analyze the entire flow of information, materials, and services from suppliers through factories and warehouses to the end customer. Examine logistics, supplier selection, and inventory management using case studies, optimization, and simulation. Three lecture hours a week for one semester. Operations Management 368 and 370 may not both be counted. Prerequisite: Operations Management 334M or 235 or 235H , with a grade of at least C-; and credit or registration for 338 .","Upper-Division Courses"
"O M 372T","Topics in Operations Management.","Restricted to students in a business major.  Three lecture hours a week for one semester.  May be repeated for credit when the topics vary. Prerequisite: Varies with the topic.","Upper-Division Courses"
"O M 375","Supply Chain and Operations Management Strategy.","Same as International Business 375C . Restricted to students in a business major. Discuss the role of supply chain management to increase a firm's competitive performance and understand how that performance affects the economy and society as a whole.  Examine supply chain and operations design as well as environmental, social, and governance (ESG) issues. Explore the impact of new business models including e-commerce and automation; contracting; outsourcing and vertical integration, resiliency; and new delivery modalities. Three lecture hours a week for one semester. Only one of the following may be counted: International Business 367 , 375C , Operations Management 367 , 375 . Prerequisite: Operations Management 334M , 235 , or 235H with a grade of at least C-; Operations Management 338 ; and credit or registration for Operations Management 368 or 370 .","Upper-Division Courses"
"O M 179, 379","Independent Research in Operations Management.","Restricted to students in a business major.  Conference course. Only one of the following may be counted: Accounting 379C , Business Administration Honors 379 , Business, Government, and Society 379 , Finance 379C , International Business 379C , Legal Environment of Business 379 , Management 379C , Management Information Systems 379 , Marketing 379C , Operations Management 379 , Risk Management 379 . Prerequisite: Eighteen semester hours of coursework in business and economics, six of which must be upper-division; Management 336 or 336H , Operations Management 334M or 235 or 235H with a grade of at least C-; consent of instructor; and written approval before the first meeting of the course from the department chair's office on forms available for that purpose.","Upper-Division Courses"
"O M 380","Seminar in Operations Management.","Three lecture hours a week for one semester.  May be repeated for credit when the topics vary. Prerequisite: Graduate standing; additional prerequisites vary with the topic.","Graduate Courses"
"O M 184, 284, 384","Topics in Business Analytics.","Restricted to students admitted to the Master of Science in Information, Risk, and Operations Management (MSIROM) program. Selected topics in business analytics.  May be repeated for credit when the topics vary. Prerequisite: Graduate standing.","Graduate Courses"
"O M 186, 286, 386","Current Issues in Operations Management.","Strategic problems, policies, models, and concepts for the design and control of new or existing operations systems. For each semester hour of credit earned, one lecture hour a week for one semester.  May be repeated for credit when the topics vary. Prerequisite: Graduate standing.","Graduate Courses"
"O M 392","Seminar: Operations Management.","Intensive analysis of operations management issues. Three lecture hours a week for one semester.  May be repeated for credit when the topics vary. Prerequisite: Admission to the doctoral degree program and consent of instructor.","Graduate Courses"
"ORI 365","Data Science for Engineers.","Same as Mechanical Engineering 365D . Learn data analysis and programming skills. Explore essential data science techniques, including regression, decision trees, classification, and neural networks. Three lecture hours a week for one semester. Only one of the following may be counted: Mechanical Engineering 365D , 379M (Topic: Data Science for Engineers), Operations Research and Industrial Engineering 365 . Prerequisite: Upper-division standing; Mechanical Engineering 205 or 318M , and Mechanical Engineering 335","Upper-Division Courses"
"ORI 366","Operations Research Models.","Same as Mechanical Engineering 366L . Formulation and solution-interpretation for operations research models requiring, for example, optimization, simulation, or analysis of Markov chains or queues. Applications include manufacturing design and control, routing and scheduling, plant location, inventory analysis, and management of queueing systems. Three lecture hours a week for one semester. Mechanical Engineering 366L and Operations Research and Industrial Engineering 366 may not both be counted. Prerequisite: For engineering majors, Mathematics 408D or 408M and Mechanical Engineering 318M with a grade of at least C- in each; for non-engineering majors, upper-division standing and written consent of instructor.","Upper-Division Courses"
